ad_id,ad_tone
x_1048086992550485,Contrast
x_1123114861672615,Contrast
x_426731366091676,Contrast
x_641509030788240,Attack
x_8213668812008223,Promote
x_1353193265213882,Contrast
x_449505353950927,Contrast
x_447276440769411,Contrast
x_3190686281261126,Attack
x_1282346679244839,Contrast
x_1354182075114568,Promote
x_481141970455743,Promote
x_919427622368045,Promote
x_1518300891965918,Contrast
x_1309715403168518,Contrast
x_787003202570582,Promote
x_454238683436256,Promote
x_848151846213126,Promote
x_3281094422161853,Promote
x_794432915124405,Promote
x_619645459904460,Promote
x_1707784876287711,Promote
x_802973880857066,Promote
x_635518581366106,Promote
x_1652739555140648,Promote
x_597031992097122,Contrast
x_1785039888528046,Promote
x_1064352794254130,Promote
x_835460334557430,Promote
x_3279437158965536,Contrast
x_1117499068972904,Contrast
x_493807179276329,Contrast
x_584649500080691,Promote
x_1138075483787321,Promote
x_1736382113383573,Promote
x_1495965967586891,Promote
x_514982713380392,Promote
x_895435098529012,Promote
x_659996399068150,Attack
x_1268254233969918,Attack
x_790940202210626,Contrast
x_650125233428036,Contrast
x_2560180467479294,Contrast
x_1281266819396076,Contrast
x_2948667978763022,Contrast
x_792120651865914,Contrast
x_6112790558755166,Contrast
x_404107591934180,Contrast
x_625534392244293,Contrast
x_1575114722945004,Contrast
x_798398808102370,Promote
x_457312839830801,Promote
x_1296999864462437,Promote
x_817261556142428,Promote
x_799503614608721,Promote
x_634498771506027,Contrast
x_2225466474288480,Contrast
x_507859807879761,Promote
x_625333432466161,Promote
x_437653038517442,Promote
x_679603956706622,Promote
x_695317458277825,Promote
x_665962631550563,Promote
x_2510513635757432,Promote
x_520431372872699,Promote
x_520189896234798,Promote
x_900632547574163,Promote
x_496572399048538,Promote
x_611912300715842,Promote
x_1531820987260603,Promote
x_1245704009607423,Promote
x_1254883888685664,Promote
x_5773689329405842,Promote
x_1174636340121374,Promote
x_3503274626562296,Contrast
x_618653960003290,Promote
x_818886442660437,Promote
x_528837128631094,Contrast
x_5652005194848708,Contrast
x_344144257934255,Promote
x_670831981125059,Promote
x_870926990571473,Promote
x_1589836208138791,Promote
x_665387498523399,Promote
x_2053586294834553,Promote
